Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric",2.159000,33.782000,90.000000,top
"R1","10k","R_0603_1608Metric",2.159000,28.194000,90.000000,top
"R2","15","R_0603_1608Metric",4.445000,38.100000,90.000000,top
"R3","15","R_0603_1608Metric",1.905000,38.100000,90.000000,top
"R4","15","R_0603_1608Metric",4.445000,6.350000,-90.000000,top
"R5","15","R_0603_1608Metric",6.985000,6.350000,-90.000000,top
"R6","15","R_0603_1608Metric",9.525000,6.350000,-90.000000,top
"R7","15","R_0603_1608Metric",9.525000,38.100000,90.000000,top
"R8","15","R_0603_1608Metric",12.065000,38.100000,90.000000,top
"R9","2k","R_0603_1608Metric",6.985000,38.100000,90.000000,top
"U1","TPIC6C596DC","SOIC127P600X175-16N",8.190000,30.353000,0.000000,top
